geometry,Feature:string,Label:string
"LINESTRING (253.95229 -12.41046, 252.01441 -12.46274)",polyline,61-63
"LINESTRING (253.95229 -12.41046, 254.92521 -13.0501)",polyline,61-66
"LINESTRING (253.95229 -12.41046, 252.96521 -12.41276)",polyline,61-73
"LINESTRING (256.28146 -14.00831, 254.92521 -13.0501)",polyline,62-66
"LINESTRING (256.28146 -14.00831, 258.15882 -15.32823)",polyline,62-69
"LINESTRING (252.01441 -12.46274, 252.96521 -12.41276)",polyline,63-73
"LINESTRING (259.33229 -25.99402, 259.44528 -25.36575)",polyline,64-70
"LINESTRING (259.33229 -25.99402, 260.45112 -26.5307)",polyline,64-71
"LINESTRING (252.69871 -24.20837, 250.90997 -23.10038)",polyline,65-67
"LINESTRING (252.69871 -24.20837, 252.05386 -22.23613)",polyline,65-77
"LINESTRING (254.92521 -13.0501, 252.96521 -12.41276)",polyline,66-73
"LINESTRING (250.90997 -23.10038, 252.05386 -22.23613)",polyline,67-77
"LINESTRING (259.44528 -25.36575, 260.45112 -26.5307)",polyline,70-71
"LINESTRING (257.00051 -27.978, 259.09523 -28.74351)",polyline,72-80
